Ergebnisübersicht:

Kreuzungs-ID: 9; Kreuzungs-Name: Ampel9
Daten der vorgelagerten WS:
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Nord: Rechts;0;0,27;3;25,0;8,79
1;Nord: Gerade;5;1,01;6;26,0;32,62
2;Nord: Links;0;0,78;5;30,0;25,31
3;Ost: Rechts;0;0,0;0;0,0;0,0
4;Ost: Gerade;0;0,0;0;0,0;0,0
5;Ost: Links;0;0,0;0;0,0;0,0
6;Süd: Rechts;0;0,73;5;39,0;22,7
7;Süd: Gerade;0;1,13;5;30,0;36,69
8;Süd: Links;0;0,33;3;28,0;12,94
9;West: Rechts;0;0,08;3;21,0;2,47
10;West: Gerade;0;0,08;2;25,0;2,38
11;West: Links;0;0,13;2;24,0;5,17



Kreuzungs-ID: 14; Kreuzungs-Name: Ampel14
Daten der vorgelagerten WS:
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0,81;10;32,0;13,21;3,47
1;Vorgelagert-Ost ;0;0,0;0;0,0;0,0;0,0
2;Vorgelagert-Süd ;0;2,24;29;115,0;2,48;0,0
3;Vorgelagert-West;0;0,0;0;0,0;0,0;0,0

Daten der WS:
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung
0;Nord: Rechts;5;1,6;5;49,0;50,8
1;Nord: Gerade;1;1,22;5;31,0;41,24
2;Nord: Links;0;0,0;0;0,0;0,0
3;Ost: Rechts;0;0,0;0;0,0;0,0
4;Ost: Gerade;0;0,0;0;0,0;0,0
5;Ost: Links;0;0,0;0;0,0;0,0
6;Süd: Rechts;0;0,0;0;0,0;0,0
7;Süd: Gerade;1;1,08;5;84,0;34,67
8;Süd: Links;1;1,16;5;60,0;38,32
9;West: Rechts;0;0,0;0;0,0;0,0
10;West: Gerade;0;0,0;0;0,0;0,0
11;West: Links;0;0,0;0;0,0;0,0



Kreuzungs-ID: 15; Kreuzungs-Name: Ampel15
Daten der vorgelagerten WS:
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0,0;0;0,0;0,0;0,0
1;Vorgelagert-Ost ;25;11,89;27;150,0;43,69;0,0
2;Vorgelagert-Süd ;955;479,14;960;2536,0;3985,11;97,57
3;Vorgelagert-West;0;0,0;0;0,0;0,0;0,0

Daten der WS:
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung
0;Nord: Rechts;0;0,0;0;0,0;0,0
1;Nord: Gerade;0;0,0;0;0,0;0,0
2;Nord: Links;0;0,0;0;0,0;0,0
3;Ost: Rechts;3;2,96;6;207,0;97,74
4;Ost: Gerade;0;1,1;4;173,0;42,54
5;Ost: Links;0;2,86;5;194,0;92,71
6;Süd: Rechts;4;3,43;6;2371,0;115,56
7;Süd: Gerade;4;2,56;5;2668,0;87,89
8;Süd: Links;1;1,26;3;2428,0;39,22
9;West: Rechts;0;0,0;0;0,0;0,0
10;West: Gerade;0;0,0;0;0,0;0,0
11;West: Links;0;0,0;0;0,0;0,0



Kreuzungs-ID: 16; Kreuzungs-Name: Ampel16
Daten der vorgelagerten WS:
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0,01;1;61,0;0,1;0,0
1;Vorgelagert-Ost ;0;0,19;7;14,0;0,84;0,0
2;Vorgelagert-Süd ;0;0,0;0;0,0;0,0;0,0
3;Vorgelagert-West;16;10,01;27;119,0;49,65;16,84

Daten der WS:
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung
0;Nord: Rechts/Gerade;0;0,07;1;18,0;2,17
1;Nord: Links;0;0,23;4;72,0;7,07
2;Ost: Rechts/Gerade;0;1,28;5;24,0;40,67
3;Ost: Links;0;0,0;0;0,0;0,0
4;Süd: Rechts/Gerade;0;0,0;0;0,0;0,0
5;Süd: Links;0;0,0;0;0,0;0,0
6;West: Rechts/Gerade;3;3,06;6;117,0;99,34
7;West: Links;3;1,48;5;109,0;51,06



Kreuzungs-ID: 17; Kreuzungs-Name: Ampel17
Daten der vorgelagerten WS:
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0,78;11;37,0;6,12;0,0
1;Vorgelagert-Ost ;0;0,0;0;0,0;0,0;0,0
2;Vorgelagert-Süd ;0;0,0;0;0,0;0,0;0,0
3;Vorgelagert-West;0;0,0;0;0,0;0,0;0,0

Daten der WS:
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung
0;Nord: Rechts/Gerade;2;1,82;5;41,0;57,59
1;Nord: Links;0;0,42;4;27,0;14,09
2;Ost: Rechts/Gerade;0;0,0;0;0,0;0,0
3;Ost: Links;0;0,0;0;0,0;0,0
4;Süd: Rechts/Gerade;0;0,0;0;0,0;0,0
5;Süd: Links;0;0,0;0;0,0;0,0
6;West: Rechts/Gerade;0;0,0;0;0,0;0,0
7;West: Links;0;0,0;0;0,0;0,0



Kreuzungs-ID: 18; Kreuzungs-Name: Ampel18
Daten der vorgelagerten WS:
