;ADVANTEST CORP;AJINOMOTO CO;ALL NIPPON AIRWAYS Y50;ASAHI BANK;ASAHI BREWERIES;ASAHI CHEMICAL IND CO;ASAHI GLASS CO;BANK TOKYO-MITSUBISHI;BRIDGESTONE CORP;CANON INC;CASIO COMPUTER CO;CITIZEN WATCH CO;DAI NIPPON PRINTING CO;DAI-ICHI KANGYO BANK Y50;DAIWA SECURITIES GROUP;DENSO CORP;FANUC;FUJI BANK;FUJI PHOTO FILM CO;FUJITSU;HITACHI;HONDA MOTOR CO;INDUSTRIAL BANK OF JAPAN;ITO-YOKADO CO;JAPAN AIRCRAFT MFG CO;JUSCO CO;KANSAI ELECTRIC POWER CO;KAO CORP;KAWASAKI STEEL CORP;KIRIN BREWERY CO;KOMATSU;KYOCERA CORP;MARUI CO;MATSUSHITA ELECT IND'L;MATSUSHITA ELECTRIC WORKS Y50;MINOLTA Y50;MITSUBISHI CORP;MITSUBISHI ELECTRIC CORP;MITSUBISHI ESTATE CO;MITSUBISHI HEAVY IND;MITSUBISHI TRUST;MITSUI & CO;MITSUI FUDOSAN CO;MURATA MANUFACTURING CO;NEC CORP;NIKKO SECURITIES Y50;NINTENDO CO;NIPPON EXPRESS CO;NIPPON STEEL CORP;NIPPON TELEVISION NETWORK CORP Y500;NISSAN MOTOR CO;NOMURA SECURITIES CO;OJI PAPER CO;ORIX CORP;OSAKA GAS CO;RICOH Y50;ROHM CO;SAKURA BANK;SANKYO CO;SANWA BANK;SANYO ELECTRIC CO;SECOM CO;SEKISUI HOUSE;SEVEN-ELEVEN JAPAN NPV;SHARP CORP;SHIN-ETSU CHEMICAL CO;SHISEIDO CO;SONY CORP;SUMITOMO BANK;SUMITOMO CHEMICAL CO;SUMITOMO CORP;SUMITOMO ELECTRIC IND;TAISHO PHARMACEUTICAL CO;TAKEDA CHEMICAL IND;TDK CORP Y50;TOKAI BANK;TOKIO MARINE & FIRE;TOKYO ELECTRIC POWER CO;TOKYO ELECTRON;TOKYO GAS CO;TOPPAN PRINTING CO;TOSHIBA CORP;TOYOTA MOTOR CORP;YAMANOUCHI PHARM.;YAMATO TRANSPORT CO;YASUDA FIRE & MARINE INS Y50
3098649600000;841,8;868,1;865,8;442,7;1328,1;509,6;388,7;632,5;1719,5;2368,5;916,3;689,3;1099;496,4;392,2;1702,3;2807,1001;379,9;2180,3999;1014,3;605,1;1161,5;604,1;3852,6001;33,3;632,8;989,3;1840,7;356,5;574,8;315,8;1968,6;1030,5;476;529,4;919,2;356,2;396,7;435,9;388,8;949,1;287;490,6;4273,6001;874,4;291,4;6607,2998;591,1;329;5846,5;244,9;527;309,6;1229,3;578,7;1026,7;536,5;306,9;3738,8999;461,6;388,4;6408,3999;392,3;6894,2998;1095,8;2256,1001;522,2;499,6;549,4;431,3;468,6;1353,7;2239,8999;2239;2568,3999;579,2;528,1;809,2;1207,8;441,1;1115,6;726,5;1957,1;4215,2002;1204,3;412
3098736000000;849,2;868,1;877,7;442,7;1320,3;496,9;391,7;618,1;1707,9;2326,1001;916,3;681,6;1094;487;387;1661,6;2838,6001;355,5;2145,3;992,1;603,8;1132,5;609,9;3886,5;33;632,8;989,3;1840,7;358,1;574,8;311,2;1908,1;1030,5;496,5;525,2;924,2;350,9;387,9;435,9;379,8;929,3;289,1;497,5;3936,5;849,6;286,1;6357,8999;589,6;327,6;5652,1001;243;517,7;302,4;1229,3;584,8;974,6;532,1;306,9;3655,3;461,6;388,4;6432,6001;381;6778,1001;1092,5;2238;512;486,3;538,1;426;462,3;1338,3;2247,8999;2225,8;2544,6001;576,1;524,3;809,2;1207,8;437,9;1093,9;718,5;1894,1;4201,3999;1181,1;405
3098822400000;835,4;854,2;878,9;433,4;1312,5;492,4;387,7;614,4;1690,5;2360;924,7;680,1;1094;477,6;376,5;1695,5;2807,1001;352;2057,3;984,7;590;1132,5;592,5;3773,5;32,9;617,9;998,4;1807,5;345,2;569,7;303,5;1935,3;1025,5;506,8;521;924,2;345,9;392,3;427,1;365,8;916,1;284;487,1;3914,7;837,2;277;6482,6001;588,9;322,1;5607,2002;231,5;511,6;296,6;1221,1;574,6;996,9;523,1;303;3655,3;450,6;382,1;6344;375,7;6747,1001;1076,1;2183,8999;501,9;468,4;523,1;417,4;448,7;1299,6;2328,2;2225,8;2518,2;567,6;531,9;812,7;1150;437,9;1079,4;727,8;1894,1;4229;1188,8;400,4
3098908800000;835,4;882;911,2;441,4;1382,8;511,5;396,7;632,5;1696,3;2436,3999;924,7;703,9;1084,1;496,4;387;1756,6;2781,8999;362,5;2101,3;992,1;598,2;1151;609,9;3943;35,2;632,8;1016,4;1862,9;351,6;574,8;315,8;1968,6;1065,6;501,7;516,8;925,4;356,2;392,3;435,9;362,3;929,3;288,4;497,5;3871,2;849,6;279,7;6731,8999;612;331,7;5607,2002;236,3;514,6;307,4;1204,7;599,1;952,3;527,6;312,6;3738,8999;469;399;6400,2998;375,3;6739,3999;1072,8;2256,1001;505,3;477,3;526,8;430,3;466,5;1322,8;2384,3999;2232,3999;2497,1001;578,6;569,9;826,3;1152,9;444,3;1101,1;741;1945,6;4201,3999;1196,5;406,2
3099168000000;834,5;854,2;906,4;438,1;1343,7;496,9;394,7;625,3;1707,9;2351,5;899,5;690,8;1049,5;501;390,4;1702,3;2718,8;359;2066,1001;977,3;598,2;1151;604,1;3948,7;33,4;644,7;1011,9;1862,9;346,8;564,6;317,3;1938,3;1045,6;494;512,6;902,8;352,6;386,8;427,1;355,4;916,1;290,1;483,6;3762,5;849,6;280,2;6794,2998;611,3;333,1;5622,2002;238,7;520,8;296,6;1199,2;597;967,2;532,1;314,3;3686,6001;465,3;396,9;6440,6001;376,5;6855,6001;1056,3;2238;515,4;486,3;530,6;432,4;459,2;1315,1;2296,1001;2212,6001;2491,8;573,7;554,7;829,7;1155,8;444,3;1086,6;738,4;1974,3;4160,1001;1173,4;421,2
3099254400000;836,3;854,2;902,8;434,7;1382,8;496,9;394,2;610,8;1719,5;2419,5;941,6;702,3;1064,3;505,7;387,5;1722,7;2693,6001;365,9;2057,3;992,1;595;1169,4;609,9;3948,7;34,8;653,7;1011,9;1862,9;348,4;574,8;327;1983,8;1035,5;496,5;516,8;917,9;349,5;384,6;418,3;356,8;916,1;291,5;466,2;3740,7;843,4;282,9;6794,2998;594;323,5;5667;238,2;520,8;297,1;1203,3;601,1;959,8;554,4;311,4;3728,3999;461,6;386,3;6424,5;376,8;6840,1001;1076,1;2274,1001;529;495,2;526,8;448,4;457,1;1315,1;2304,1001;2192,8999;2499,7;591,4;554,7;840;1167,4;450,7;1101,1;741;1962,8;4201,3999;1181,1;417,8
3099340800000;835,4;840,3;880,1;424,8;1351,6;477;382,7;603,6;1673,2;2419,5;924,7;677,8;1044,5;501;378,2;1682;2649,3999;355,5;1991,4;984,7;590,6;1153,6;598,3;3880,8999;32,9;665,6;1011,9;1851,8;335,6;574,8;316,8;2023,1;1045,6;494;512,6;924,2;345,6;376,9;403,7;374,9;896,4;291,5;448,8;3740,7;837,2;274,9;6669,6001;591,1;326,2;5667;233,4;514,6;297,5;1199,2;595;952,3;545,5;310,9;3592,6001;458;386,3;6207,1001;375,3;6739,3999;1047,6;2256,1001;512;490,7;523,1;439,9;446,1;1291,9;2231,8;2173,1001;2507,6001;585,3;539,5;850,2;1176,1;458,8;1108,3;715,9;1905,6;4091,2;1181,1;416
3099427200000;830,8;854,2;880,1;409,6;1375;467;394,2;603,6;1690,5;2419,5;941,6;696,2;1024,7;496,4;359,6;1688,7;2680,8999;342,9;1956,2;984,7;585,6;1140,4;598,3;3750,8999;32,9;659,7;1011,9;1829,7;326;574,8;325,5;2059,5;1035,5;491,4;512,6;920,4;347;380,2;394,9;370,7;883,2;289,8;445,4;3632;830,9;260,6;6544,8999;594;323,5;5801,6001;234,4;511,6;298,4;1196,5;599,1;959,8;541;288,8;3550,8999;458;401,1;6215,2002;381;6677,3999;1037,7;2265,1001;505,3;481,8;523,1;447,3;444;1276,4;2231,8;2120,3999;2502,3999;553,6;547,1;846,8;1190,5;465,2;1122,8;706,6;1928,5;4036,1001;1196,5;412
3099513600000;830,8;868,1;883,7;394,4;1390,6;479,7;391,2;614,4;1696,3;2461,8999;958,4;705,4;1044,5;491,7;346,2;1736,2;2655,7;336,3;1929,9;977,3;588,7;1151;592,5;3756,6001;32,9;668,6;1016,4;1862,9;332,4;574,8;338,7;2065,5;1040,5;499,1;495,8;939,3;352,6;378;403,7;367,2;876,6;294,2;455,8;3632;830,9;259;6482,6001;599,7;324,8;5786,7002;238,2;502,3;300,2;1210,2;607,2;952,3;532,1;292,8;3603,1001;450,6;405,4;6207,1001;388,5;6646,3999;1035,5;2256,1001;508,6;490,7;523,1;448,4;465,5;1299,6;2183,7;2133,6001;2512,8999;541,4;547,1;850,2;1207,8;463,6;1144,6;746,3;1928,5;3994,8;1196,5;421,2
3099772800000;833,6;861,1;896,8;390,4;1406,2;474,3;390,7;614,4;1661,6;2470,3999;958,4;727,6;1054,4;487;341,6;1661,6;2662;320,6;2035,4;969,9;592,5;1174,7;592,5;3892,2;34,4;662,6;1030;1840,7;340,4;574,8;339,2;2114;1040,5;488,8;483,2;955,6;359,7;364,8;400,8;365,1;889,8;297,3;452,3;3719;824,7;259,5;6295,6001;603,4;322,1;5756,7998;242,5;502,3;300,2;1226,6;609,2;952,3;532,1;284,8;3655,3;454,3;391,6;6319,7998;384,8;6677,3999;1012,5;2265,1001;515,4;495,2;515,6;442;466;1299,6;2143,5;2127;2526,1001;540,8;547,1;850,2;1199,2;463,6;1144,6;719,9;1928,5;3994,8;1181,1;413,1
