;ADVANTEST CORP;AJINOMOTO CO;ALL NIPPON AIRWAYS Y50;ASAHI BANK;ASAHI BREWERIES;ASAHI CHEMICAL IND CO;ASAHI GLASS CO;BANK TOKYO-MITSUBISHI;BRIDGESTONE CORP;CANON INC;CASIO COMPUTER CO;CITIZEN WATCH CO;DAI NIPPON PRINTING CO;DAI-ICHI KANGYO BANK Y50;DAIWA SECURITIES GROUP;DENSO CORP;FANUC;FUJI BANK;FUJI PHOTO FILM CO;FUJITSU;HITACHI;HONDA MOTOR CO;INDUSTRIAL BANK OF JAPAN;ITO-YOKADO CO;JAPAN AIRCRAFT MFG CO;JUSCO CO;KANSAI ELECTRIC POWER CO;KAO CORP;KAWASAKI STEEL CORP;KIRIN BREWERY CO;KOMATSU;KYOCERA CORP;MARUI CO;MATSUSHITA ELECT IND'L;MATSUSHITA ELECTRIC WORKS Y50;MINOLTA Y50;MITSUBISHI CORP;MITSUBISHI ELECTRIC CORP;MITSUBISHI ESTATE CO;MITSUBISHI HEAVY IND;MITSUBISHI TRUST;MITSUI & CO;MITSUI FUDOSAN CO;MURATA MANUFACTURING CO;NEC CORP;NIKKO SECURITIES Y50;NINTENDO CO;NIPPON EXPRESS CO;NIPPON STEEL CORP;NIPPON TELEVISION NETWORK CORP Y500;NISSAN MOTOR CO;NOMURA SECURITIES CO;OJI PAPER CO;ORIX CORP;OSAKA GAS CO;RICOH Y50;ROHM CO;SAKURA BANK;SANKYO CO;SANWA BANK;SANYO ELECTRIC CO;SECOM CO;SEKISUI HOUSE;SEVEN-ELEVEN JAPAN NPV;SHARP CORP;SHIN-ETSU CHEMICAL CO;SHISEIDO CO;SONY CORP;SUMITOMO BANK;SUMITOMO CHEMICAL CO;SUMITOMO CORP;SUMITOMO ELECTRIC IND;TAISHO PHARMACEUTICAL CO;TAKEDA CHEMICAL IND;TDK CORP Y50;TOKAI BANK;TOKIO MARINE & FIRE;TOKYO ELECTRIC POWER CO;TOKYO ELECTRON;TOKYO GAS CO;TOPPAN PRINTING CO;TOSHIBA CORP;TOYOTA MOTOR CORP;YAMANOUCHI PHARM.;YAMATO TRANSPORT CO;YASUDA FIRE & MARINE INS Y50
33052,0000;427,8000;1341,2000;1856,4000;760,5000;1338,0000;751,7000;856,0000;809,8000;824,4000;1489,7000;1252,8000;802,4000;868,1000;1085,0000;843,0000;1459,0000;4502,7998;904,7000;1609,8000;996,9000;884,7000;441,1000;2162,8000;2087,0000;151,4000;557,1000;1307,9000;1415,0000;850,6000;853,6000;549,0000;2484,0000;1255,7000;517,7000;676,9000;1173,4000;495,4000;977,6000;417,6000;649,6000;1206,4000;289,8000;601,0000;2861,2000;1170,6000;602,1000;12421,2998;724,6000;712,2000;5121,6001;487,9000;679,7000;443,1000;615,9000;1143,8000;753,5000;151,6000;1212,0000;2133,5000;793,2000;898,5000;5180,6001;623,2000;2920,7000;1915,2000;1490,7000;576,7000;340,0000;899,1000;663,5000;630,2000;1131,3000;1552,1000;1063,2000;1821,5000;1035,3000;496,8000;1250,2000;973,2000;1077,7000;1142,7000;1296,6000;1131,2000;3459,6001;746,5000;561,6000
33053,0000;421,1000;1341,2000;1834,1000;754,2000;1338,0000;750,1000;865,4000;793,1000;824,4000;1505,8000;1245,1000;795,3000;872,7000;1080,5000;804,4000;1471,8000;4642,7002;881,0000;1634,1000;1010,6000;873,1000;441,1000;2124,6001;2087,0000;156,9000;554,3000;1292,6000;1433,0000;828,2000;835,5000;558,4000;2523,8000;1255,7000;517,7000;693,8000;1149,1000;488,7000;979,6000;414,8000;636,9000;1187,4000;286,3000;604,3000;2904,3999;1159,0000;617,0000;12421,2998;717,8000;707,1000;5121,6001;474,8000;662,1000;447,2000;601,3000;1175,4000;753,5000;147,8000;1179,9000;2125,2000;775,5000;897,5000;5157,7002;629,5000;2959,3999;1915,2000;1524,0000;569,5000;344,2000;895,5000;671,5000;615,4000;1160,5000;1565,7000;1057,1000;1711,5000;1047,0000;489,6000;1247,2000;985,8000;1083,6000;1123,3000;1296,6000;1136,1000;3471,5000;746,5000;550,8000
33056,0000;407,8000;1341,2000;1856,4000;754,2000;1323,2000;740,9000;889,1000;783,0000;819,0000;1497,7000;1252,8000;802,4000;872,7000;1085,0000;826,5000;1471,8000;4594,0000;898,0000;1602,9000;1003,8000;861,5000;441,1000;2113,8000;2097,7000;154,2000;557,1000;1288,7000;1415,0000;850,6000;849,1000;563,2000;2526,6001;1276,2000;515,3000;703,9000;1184,3000;495,4000;964,9000;428,7000;636,3000;1187,4000;283,4000;604,3000;2904,3999;1135,8000;612,0000;12245,7002;724,6000;732,6000;5092,7002;479,2000;665,0000;443,1000;614,5000;1175,4000;753,5000;151,3000;1201,3000;2133,5000;761,3000;881,0000;5088,8999;651,5000;3021,2000;1925,5000;1532,3000;579,1000;335,8000;880,9000;675,5000;625,2000;1153,2000;1531,6000;1044,8000;1809,3000;1035,3000;485,9000;1247,2000;983,7000;1085,1000;1129,8000;1272,8000;1116,7000;3447,8000;764,3000;561,6000
33057,0000;409,8000;1328,1000;1845,2000;754,2000;1323,2000;758,5000;889,1000;783,0000;813,6000;1489,7000;1229,6000;837,9000;877,3000;1080,5000;826,5000;1452,6000;4758,2998;864,1000;1616,7000;983,1000;861,5000;458,5000;2097,3999;2108,3999;156,0000;557,1000;1296,4000;1406,1000;861,0000;840,1000;572,6000;2577,7000;1288,4000;515,3000;717,3000;1179,4000;505,5000;952,1000;423,2000;631,2000;1187,4000;288,2000;601,0000;2913,0000;1130,0000;617,0000;12070,0996;738,3000;713,4000;5049,2998;470,4000;662,1000;455,5000;619,8000;1153,1000;746,7000;152,6000;1201,3000;2125,2000;761,3000;866,4000;5127,1001;657,8000;3001,8999;1904,9000;1565,6000;576,7000;336,2000;877,3000;669,5000;610,5000;1145,9000;1524,8000;1038,6000;1833,7000;1029,5000;493,2000;1244,2000;987,9000;1085,1000;1129,8000;1272,8000;1111,9000;3447,8000;764,3000;561,6000
33058,0000;403,7000;1328,1000;1845,2000;754,2000;1338,0000;766,8000;884,3000;786,4000;819,0000;1497,7000;1221,9000;852,1000;872,7000;1094,0000;826,5000;1452,6000;4685,2998;881,0000;1589,1000;990,0000;861,5000;433,7000;2108,3000;2119,1001;152,3000;571,0000;1319,5000;1397,1000;852,0000;835,5000;586,8000;2512,3999;1304,8000;520,1000;737,5000;1179,4000;515,5000;945,3000;431,5000;643,3000;1200,0000;298,4000;610,9000;2982,2000;1135,8000;622,0000;12114,0000;731,5000;721,1000;5020,3999;470,4000;668,0000;451,4000;615,9000;1151,2000;760,3000;154,8000;1190,6000;2125,2000;764,9000;868,3000;5043,1001;651,5000;2994,1001;1904,9000;1574,0000;574,3000;331,7000;884,6000;671,5000;630,2000;1153,2000;1572,5000;1050,9000;1809,3000;1029,5000;496,8000;1244,2000;987,9000;1098,4000;1129,8000;1272,8000;1102,2000;3495,2000;764,3000;550,8000
33059,0000;407,8000;1308,5000;1867,5000;747,9000;1338,0000;766,8000;874,9000;786,4000;813,6000;1489,7000;1206,4000;823,7000;863,4000;1085,0000;798,9000;1452,6000;4697,5000;887,8000;1599,4000;996,9000;861,5000;431,2000;2113,8000;2129,8000;151,4000;571,0000;1331,0000;1397,1000;844,6000;831,0000;577,4000;2515,3000;1313,0000;520,1000;737,5000;1155,1000;525,5000;948,2000;431,5000;633,7000;1193,7000;299,4000;604,3000;3025,3999;1153,2000;602,1000;11850,7002;724,6000;723,6000;5005,8999;479,2000;659,1000;455,5000;617,2000;1160,5000;739,9000;152,6000;1185,2000;2117,0000;772,0000;860,6000;5043,1001;657,8000;3083,0000;1894,6000;1540,7000;581,5000;331,3000;877,3000;671,5000;640,0000;1138,6000;1558,9000;1050,9000;1806,8000;1023,7000;496,8000;1262,0000;987,9000;1085,1000;1136,2000;1260,9000;1107,1000;3507,0000;752,4000;556,2000
33060,0000;408,4000;1315,0000;1867,5000;729,1000;1338,0000;762,6000;874,9000;789,7000;813,6000;1521,8000;1214,1000;830,8000;882,0000;1085,0000;804,4000;1471,8000;4667,0000;894,6000;1623,7000;1010,6000;878,9000;441,1000;2119,2000;2156,6001;155,1000;565,4000;1307,9000;1406,1000;829,7000;826,5000;586,8000;2546,5000;1337,5000;522,6000;727,4000;1166,1000;515,5000;952,1000;428,7000;636,3000;1168,5000;297,1000;597,7000;2990,8000;1170,6000;597,1000;11675,0996;711,0000;714,7000;4962,5000;492,2000;659,1000;463,8000;615,9000;1149,3000;746,7000;149,4000;1195,9000;2125,2000;768,4000;864,5000;5043,1001;651,5000;3129,3999;1904,9000;1557,3000;588,6000;333,6000;888,2000;662,5000;635,1000;1160,5000;1565,7000;1044,8000;1792,2000;1023,7000;500,4000;1247,2000;998,4000;1064,4000;1123,3000;1284,7000;1107,1000;3447,8000;758,4000;561,6000
33063,0000;409,8000;1321,5000;1856,4000;710,2000;1345,3000;761,0000;870,2000;786,4000;808,2000;1529,8000;1229,6000;830,8000;891,3000;1085,0000;804,4000;1478,2000;4600,1001;898,0000;1637,5000;1010,6000;873,1000;441,1000;2179,1001;2172,7000;154,2000;565,4000;1307,9000;1406,1000;832,6000;826,5000;591,6000;2526,6001;1362,0000;529,8000;724,1000;1153,9000;518,8000;955,1000;425,9000;627,3000;1193,7000;294,6000;591,1000;3008,1001;1164,8000;597,1000;11631,2002;711,0000;712,2000;5005,8999;479,2000;662,1000;463,8000;602,6000;1151,2000;760,3000;152,6000;1195,9000;2141,8000;761,3000;883,9000;5119,5000;651,5000;3090,7000;1894,6000;1590,6000;579,1000;333,9000;880,9000;659,5000;625,2000;1175,1000;1538,4000;1050,9000;1799,5000;1023,7000;500,4000;1232,3000;1013,1000;1046,8000;1142,7000;1272,8000;1107,1000;3483,3000;776,1000;561,6000
33064,0000;407,8000;1301,9000;1845,2000;710,2000;1315,8000;757,6000;860,7000;773,0000;808,2000;1513,8000;1214,1000;830,8000;877,3000;1071,4000;793,4000;1465,4000;4594,0000;887,8000;1623,7000;1010,6000;867,3000;438,7000;2113,8000;2178,0000;148,6000;582,2000;1281,0000;1424,0000;820,7000;817,5000;596,3000;2486,8999;1329,3000;517,7000;720,7000;1166,1000;512,1000;935,5000;414,8000;619,1000;1193,7000;289,8000;581,1000;2973,5000;1147,4000;587,1000;11806,7998;704,1000;700,7000;5005,8999;470,4000;653,3000;451,4000;585,4000;1140,0000;760,3000;148,9000;1169,1000;2141,8000;747,2000;861,5000;5157,7002;635,8000;3071,3999;1863,7000;1582,3000;574,3000;329,8000;873,6000;643,5000;615,4000;1160,5000;1524,8000;1038,6000;1801,9000;1023,7000;493,2000;1223,4000;1000,5000;1042,3000;1136,2000;1260,9000;1092,6000;3471,5000;788,0000;550,8000
33065,0000;403,7000;1328,1000;1900,8000;722,8000;1330,6000;758,5000;870,2000;779,7000;813,6000;1505,8000;1214,1000;816,6000;886,6000;1080,5000;793,4000;1433,4000;4539,2998;877,6000;1599,4000;996,9000;861,5000;431,2000;2119,2000;2178,0000;146,8000;571,0000;1307,9000;1433,0000;828,2000;849,1000;596,3000;2492,5000;1329,3000;520,1000;724,1000;1155,1000;508,8000;935,5000;417,6000;630,5000;1200,0000;293,6000;584,4000;3025,3999;1141,6000;587,1000;12026,2002;717,8000;717,3000;5179,5000;479,2000;656,2000;455,5000;596,0000;1143,8000;753,5000;152,4000;1169,1000;2125,2000;754,3000;852,8000;5150,0000;645,2000;3032,8000;1863,7000;1574,0000;583,8000;329,8000;873,6000;657,5000;630,2000;1182,4000;1545,3000;1044,8000;1797,0000;1023,7000;500,4000;1268,0000;990,0000;1058,5000;1142,7000;1249,0000;1097,4000;3471,5000;799,8000;561,6000
