Ergebnisübersicht:;;;;;;;
;;;;;;;
Kreuzungs-ID: 68; Kreuzungs-Name: Schneckenburger-Max-Stromeyer;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;17;6,88;19;140;11,79;0
1;Vorgelagert-Ost ;545;252,84;545;1677;2035,21;95,12
2;Vorgelagert-Süd ;0;0,02;2;14;0,28;0
3;Vorgelagert-West;22;20,13;31;340;99;60,14
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts;0;1,22;3;157;38,69;
1;Nord: Gerade;4;3,27;6;204;107,96;
2;Nord: Links;0;1,2;3;170;40,13;
3;Ost: Rechts;0;1,46;4;1607;42,08;
4;Ost: Gerade;0;2,01;5;1664;67,2;
5;Ost: Links;3;3,73;6;1679;113,31;
6;Süd: Rechts;0;0,76;4;50;24,69;
7;Süd: Gerade;0;0,56;4;38;17,37;
8;Süd: Links;0;0,78;4;45;23,4;
9;West: Rechts;4;3,56;5;442;114,76;
10;West: Gerade;1;1,84;5;345;58,7;
11;West: Links;0;1,39;4;417;44,78;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 11; Kreuzungs-Name: Reichenau-Schneckenburg;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0;0;0;0;0
1;Vorgelagert-Ost ;0;0,02;2;14;0,07;0
2;Vorgelagert-Süd ;0;0;0;0;0;0
3;Vorgelagert-West;24;19,2;30;229;98,26;59,49
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts;0;0,1;2;21;3,11;
1;Nord: Gerade;0;0;0;0;0;
2;Nord: Links;3;0,35;4;82;11,8;
3;Ost: Rechts;0;0,11;2;16;3,11;
4;Ost: Gerade;0;0,75;4;21;24,27;
5;Ost: Links;0;0;0;0;0;
6;Süd: Rechts;0;0;0;0;0;
7;Süd: Gerade;0;0;0;0;0;
8;Süd: Links;0;0;0;0;0;
9;West: Rechts;0;0;0;0;0;
10;West: Gerade;4;3,57;5;270;118,17;
11;West: Links;0;1,52;4;239;49,87;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 16; Kreuzungs-Name: Fürstenberg-Schneckenburg;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0;0;0;0;0
1;Vorgelagert-Ost ;0;0;0;0;0;0
2;Vorgelagert-Süd ;0;0;0;0;0;0
3;Vorgelagert-West;61;52,67;73;340;91,38;34,57
;;;;;;;
Daten der WS:;;;;;;;
