;ADVANTEST CORP;AJINOMOTO CO;ALL NIPPON AIRWAYS Y50;ASAHI BANK;ASAHI BREWERIES;ASAHI CHEMICAL IND CO;ASAHI GLASS CO;BANK TOKYO-MITSUBISHI;BRIDGESTONE CORP;CANON INC;CASIO COMPUTER CO;CITIZEN WATCH CO;DAI NIPPON PRINTING CO;DAI-ICHI KANGYO BANK Y50;DAIWA SECURITIES GROUP;DENSO CORP;FANUC;FUJI BANK;FUJI PHOTO FILM CO;FUJITSU;HITACHI;HONDA MOTOR CO;INDUSTRIAL BANK OF JAPAN;ITO-YOKADO CO;JAPAN AIRCRAFT MFG CO;JUSCO CO;KANSAI ELECTRIC POWER CO;KAO CORP;KAWASAKI STEEL CORP;KIRIN BREWERY CO;KOMATSU;KYOCERA CORP;MARUI CO;MATSUSHITA ELECT IND'L;MATSUSHITA ELECTRIC WORKS Y50;MINOLTA Y50;MITSUBISHI CORP;MITSUBISHI ELECTRIC CORP;MITSUBISHI ESTATE CO;MITSUBISHI HEAVY IND;MITSUBISHI TRUST;MITSUI & CO;MITSUI FUDOSAN CO;MURATA MANUFACTURING CO;NEC CORP;NIKKO SECURITIES Y50;NINTENDO CO;NIPPON EXPRESS CO;NIPPON STEEL CORP;NIPPON TELEVISION NETWORK CORP Y500;NISSAN MOTOR CO;NOMURA SECURITIES CO;OJI PAPER CO;ORIX CORP;OSAKA GAS CO;RICOH Y50;ROHM CO;SAKURA BANK;SANKYO CO;SANWA BANK;SANYO ELECTRIC CO;SECOM CO;SEKISUI HOUSE;SEVEN-ELEVEN JAPAN NPV;SHARP CORP;SHIN-ETSU CHEMICAL CO;SHISEIDO CO;SONY CORP;SUMITOMO BANK;SUMITOMO CHEMICAL CO;SUMITOMO CORP;SUMITOMO ELECTRIC IND;TAISHO PHARMACEUTICAL CO;TAKEDA CHEMICAL IND;TDK CORP Y50;TOKAI BANK;TOKIO MARINE & FIRE;TOKYO ELECTRIC POWER CO;TOKYO ELECTRON;TOKYO GAS CO;TOPPAN PRINTING CO;TOSHIBA CORP;TOYOTA MOTOR CORP;YAMANOUCHI PHARM.;YAMATO TRANSPORT CO;YASUDA FIRE & MARINE INS Y50
35906,0000;864,0000;781,0000;699,5000;329,0000;1393,7000;424,2000;349,0000;589,5000;1794,8000;2606,2000;991,6000;683,3000;1096,5000;413,8000;305,0000;1567,8000;3068,2000;253,3000;2137,2000;1107,4000;616,2000;1216,5000;518,6000;3982,5000;29,4000;677,6000;996,1000;1993,5000;310,5000;572,3000;319,7000;2013,9000;1023,0000;563,8000;503,4000;1076,6000;357,2000;359,0000;375,0000;355,3000;839,6000;282,2000;421,8000;4058,5000;890,5000;216,6000;7183,7998;560,4000;296,4000;5784,8999;198,9000;491,6000;279,4000;1301,2000;604,1000;1036,2000;622,4000;266,7000;3449,2000;411,8000;410,4000;6476,5000;379,1000;6793,6001;1100,7000;2359,2000;531,4000;507,0000;481,3000;397,9000;416,4000;1280,1000;2203,3999;2339,6001;2773,8999;464,3000;531,1000;851,9000;1443,9000;464,4000;1152,4000;786,3000;1970,4000;4333,3999;1170,9000;343,8000
35907,0000;865,0000;757,9000;680,4000;325,0000;1398,4000;416,0000;340,9000;585,5000;1812,1000;2665,7000;994,2000;687,1000;1094,0000;408,7000;306,2000;1547,4000;3049,2000;254,4000;2159,2000;1099,9000;606,7000;1232,3000;508,1000;3954,3000;27,4000;664,1000;987,0000;1982,4000;302,4000;569,7000;324,3000;2035,2000;998,0000;570,3000;504,2000;1066,5000;344,1000;360,1000;375,6000;353,2000;855,5000;275,3000;414,5000;4134,7998;892,9000;221,4000;7240,2002;535,0000;290,8000;5777,3999;199,4000;494,7000;278,5000;1286,2000;602,1000;1039,9000;622,4000;261,0000;3449,2000;414,3000;405,0000;6444,0000;379,9000;6785,8999;1099,6000;2300,5000;553,6000;504,8000;472,3000;380,6000;402,2000;1284,0000;2175,1001;2405,7000;2736,8000;463,1000;529,2000;848,5000;1414,9000;464,4000;1128,3000;798,4000;1981,8000;4333,3999;1170,9000;346,7000
35908,0000;894,4000;759,3000;669,6000;325,0000;1402,3000;423,3000;341,4000;582,6000;1846,9000;2640,2000;985,7000;707,9000;1106,4000;413,8000;311,5000;1550,8000;3030,2000;256,2000;2154,8000;1107,4000;597,2000;1221,8000;509,3000;3909,1001;27,7000;646,2000;993,8000;2133,8000;304,1000;579,4000;316,6000;2050,3999;1003,0000;570,3000;510,9000;1066,5000;344,1000;375,7000;385,0000;354,6000;857,4000;275,7000;430,5000;4134,7998;903,5000;216,6000;7353,2002;534,3000;296,4000;5852,2998;203,7000;503,1000;274,4000;1290,3000;598,0000;1064,5000;618,4000;263,9000;3459,7000;418,8000;405,0000;6452,2002;385,5000;6832,2998;1097,4000;2336,6001;581,1000;501,2000;474,2000;392,4000;403,8000;1292,5000;2179,1001;2412,3000;2752,7000;469,8000;542,6000;845,0000;1435,2000;469,2000;1121,1000;799,7000;1964,6000;4319,6001;1174,0000;350,2000
35909,0000;902,5000;774,0000;696,0000;339,0000;1383,6000;425,1000;359,6000;599,7000;1852,6000;2657,2000;985,7000;712,5000;1118,8000;427,5000;313,8000;1598,4000;3068,2000;262,1000;2163,6001;1137,1000;606,0000;1258,7000;527,4000;3943,0000;30,1000;650,7000;1005,3000;2132,7000;308,9000;593,1000;320,2000;2099,1001;1030,5000;570,3000;508,4000;1062,7000;350,1000;382,3000;395,2000;361,7000;858,1000;281,9000;440,6000;4145,7002;927,2000;230,0000;7516,2998;549,6000;300,6000;6129,6001;207,6000;512,4000;280,3000;1310,8000;616,4000;1064,5000;635,4000;267,9000;3438,7000;433,1000;411,4000;6411,6001;386,3000;6847,7998;1107,4000;2341,1001;594,4000;505,7000;483,6000;400,0000;415,4000;1280,9000;2223,6001;2412,3000;2752,7000;493,8000;547,6000;886,4000;1481,6000;479,0000;1169,8000;805,0000;2010,6000;4278,0000;1184,9000;350,2000
35912,0000;896,4000;753,1000;681,6000;326,3000;1374,2000;417,8000;349,0000;572,5000;1783,2000;2648,7000;981,4000;711,7000;1101,4000;409,1000;306,8000;1574,6000;3011,2000;253,3000;2159,2000;1123,7000;591,5000;1256,1000;510,4000;3960,0000;27,7000;661,1000;982,4000;2121,6001;287,9000;592,6000;313,6000;2013,9000;1035,5000;561,2000;508,4000;1047,6000;346,9000;372,3000;383,2000;352,5000;806,5000;279,8000;437,5000;4091,2000;912,2000;219,8000;7441,0000;547,4000;292,2000;6024,7002;200,8000;510,2000;270,4000;1302,6000;598,0000;1039,1000;636,3000;257,0000;3396,8000;409,9000;398,6000;6354,7998;382,9000;6747,1001;1104,1000;2341,1001;592,0000;498,5000;464,7000;395,7000;401,2000;1270,0000;2239,8000;2392,5000;2691,7000;461,8000;531,5000;865,7000;1461,3000;479,0000;1131,3000;795,7000;1964,6000;4167,2998;1162,4000;344,3000
35913,0000;890,3000;744,0000;669,6000;327,0000;1356,2000;415,1000;343,0000;563,8000;1754,2000;2580,8000;960,2000;686,3000;1091,5000;400,7000;292,1000;1540,6000;3068,2000;246,7000;2053,3999;1118,5000;588,3000;1258,7000;499,4000;3954,3000;29,5000;650,7000;973,3000;2119,3999;287,9000;598,2000;307,9000;2023,0000;1010,5000;553,5000;505,5000;1035,0000;336,3000;362,3000;375,6000;346,9000;796,0000;275,3000;419,7000;3993,0000;916,0000;217,7000;7528,8999;536,5000;295,0000;6009,7002;200,8000;498,1000;266,3000;1267,0000;600,0000;1028,7000;640,3000;244,5000;3354,8000;404,8000;396,5000;6314,2002;387,0000;6778,1001;1110,7000;2300,5000;590,3000;493,2000;449,2000;375,1000;392,2000;1242,1000;2199,3000;2425,6001;2731,5000;448,9000;531,1000;838,1000;1470,0000;470,9000;1102,9000;801,0000;1958,9000;4236,5000;1159,3000;341,4000
35914,0000;890,3000;744,0000;669,6000;327,0000;1356,2000;415,1000;343,0000;563,8000;1754,2000;2580,8000;960,2000;686,3000;1091,5000;400,7000;292,1000;1540,6000;3068,2000;246,7000;2053,3999;1118,5000;588,3000;1258,7000;499,4000;3954,3000;29,5000;650,7000;973,3000;2119,3999;287,9000;598,2000;307,9000;2023,0000;1010,5000;553,5000;505,5000;1035,0000;336,3000;362,3000;375,6000;346,9000;796,0000;275,3000;419,7000;3993,0000;916,0000;217,7000;7528,8999;536,5000;295,0000;6009,7002;200,8000;498,1000;266,3000;1267,0000;600,0000;1028,7000;640,3000;244,5000;3354,8000;404,8000;396,5000;6314,2002;387,0000;6778,1001;1110,7000;2300,5000;590,3000;493,2000;449,2000;375,1000;392,2000;1242,1000;2199,3000;2425,6001;2731,5000;448,9000;531,1000;838,1000;1470,0000;470,9000;1102,9000;801,0000;1958,9000;4236,5000;1159,3000;341,4000
35915,0000;900,4000;741,2000;673,2000;339,0000;1353,9000;423,3000;361,7000;593,9000;1748,4000;2657,2000;992,5000;684,8000;1118,8000;422,8000;293,8000;1547,4000;3087,1001;262,1000;2075,5000;1148,2000;601,0000;1266,6000;525,0000;3869,6001;28,9000;637,3000;1037,2000;2166,1001;291,1000;587,5000;307,9000;2111,3000;1045,6000;547,0000;500,0000;1085,5000;354,0000;377,9000;375,6000;344,8000;833,0000;281,9000;421,1000;4156,7002;927,8000;216,1000;7503,7998;548,1000;296,4000;5859,7998;206,1000;500,9000;279,8000;1253,3000;610,3000;1024,2000;665,8000;259,9000;3438,7000;430,2000;400,8000;6330,3999;390,1000;6855,6001;1147,1000;2332,1001;594,4000;492,7000;471,9000;378,4000;400,6000;1223,5000;2264,0000;2498,3000;2773,8999;477,8000;550,2000;874,3000;1507,7000;485,5000;1145,1000;819,7000;1981,8000;4333,3999;1216,6000;350,2000
35916,0000;911,6000;765,6000;686,4000;331,0000;1325,0000;419,7000;354,6000;599,7000;1742,6000;2691,1001;992,5000;696,4000;1111,4000;409,1000;300,3000;1530,4000;3137,8000;254,0000;2115,1001;1155,7000;589,6000;1274,5000;520,9000;3830,0000;29,1000;611,9000;1023,5000;2161,7000;297,6000;589,1000;301,2000;2111,3000;1070,6000;540,6000;493,7000;1077,9000;342,3000;377,9000;363,8000;339,1000;842,9000;273,3000;406,1000;4233,0000;921,0000;216,1000;7629,2002;526,3000;297,8000;5882,2998;199,9000;500,3000;266,8000;1275,2000;616,4000;1042,1000;660,0000;251,3000;3354,8000;433,8000;402,9000;6306,1001;380,6000;6886,6001;1192,3000;2336,6001;581,5000;496,7000;471,9000;373,0000;411,2000;1208,7000;2247,8000;2471,8000;2845,5000;473,5000;534,9000;858,8000;1490,3000;487,1000;1151,6000;818,4000;1976,1000;4278,0000;1184,9000;342,0000
35919,0000;911,6000;765,6000;686,4000;331,0000;1325,0000;419,7000;354,6000;599,7000;1742,6000;2691,1001;992,5000;696,4000;1111,4000;409,1000;300,3000;1530,4000;3137,8000;254,0000;2115,1001;1155,7000;589,6000;1274,5000;520,9000;3830,0000;29,1000;611,9000;1023,5000;2161,7000;297,6000;589,1000;301,2000;2111,3000;1070,6000;540,6000;493,7000;1077,9000;342,3000;377,9000;363,8000;339,1000;842,9000;273,3000;406,1000;4233,0000;921,0000;216,1000;7629,2002;526,3000;297,8000;5882,2998;199,9000;500,3000;266,8000;1275,2000;616,4000;1042,1000;660,0000;251,3000;3354,8000;433,8000;402,9000;6306,1001;380,6000;6886,6001;1192,3000;2336,6001;581,5000;496,7000;471,9000;373,0000;411,2000;1208,7000;2247,8000;2471,8000;2845,5000;473,5000;534,9000;858,8000;1490,3000;487,1000;1151,6000;818,4000;1976,1000;4278,0000;1184,9000;342,0000
35920,0000;911,6000;765,6000;686,4000;331,0000;1325,0000;419,7000;354,6000;599,7000;1742,6000;2691,1001;992,5000;696,4000;1111,4000;409,1000;300,3000;1530,4000;3137,8000;254,0000;2115,1001;1155,7000;589,6000;1274,5000;520,9000;3830,0000;29,1000;611,9000;1023,5000;2161,7000;297,6000;589,1000;301,2000;2111,3000;1070,6000;540,6000;493,7000;1077,9000;342,3000;377,9000;363,8000;339,1000;842,9000;273,3000;406,1000;4233,0000;921,0000;216,1000;7629,2002;526,3000;297,8000;5882,2998;199,9000;500,3000;266,8000;1275,2000;616,4000;1042,1000;660,0000;251,3000;3354,8000;433,8000;402,9000;6306,1001;380,6000;6886,6001;1192,3000;2336,6001;581,5000;496,7000;471,9000;373,0000;411,2000;1208,7000;2247,8000;2471,8000;2845,5000;473,5000;534,9000;858,8000;1490,3000;487,1000;1151,6000;818,4000;1976,1000;4278,0000;1184,9000;342,0000
35921,0000;905,5000;754,5000;651,7000;326,3000;1314,1000;415,1000;343,0000;581,6000;1670,3000;2691,1001;968,7000;708,7000;1074,1000;413,8000;301,5000;1506,6000;3150,3999;247,4000;2097,5000;1141,6000;595,9000;1258,7000;504,6000;3880,8999;28,9000;611,9000;998,4000;2151,7000;287,9000;568,7000;290,5000;2147,8000;1065,6000;529,0000;504,2000;1079,1000;334,5000;366,8000;360,9000;345,5000;819,8000;271,9000;398,1000;4200,2998;900,4000;204,3000;7604,1001;517,6000;293,6000;5897,2998;196,5000;493,1000;255,5000;1265,6000;616,4000;1006,3000;644,8000;236,5000;3281,3999;424,6000;400,8000;6330,3999;384,0000;6809,1001;1159,2000;2314,0000;586,6000;492,3000;457,2000;362,2000;406,4000;1197,9000;2223,6001;2372,7000;2784,5000;458,1000;534,6000;869,2000;1472,9000;475,7000;1106,5000;818,4000;1970,4000;4291,8999;1163,1000;342,0000
35922,0000;896,4000;760,7000;645,7000;329,0000;1307,0000;414,2000;344,0000;567,1000;1690,5000;2597,7000;967,8000;699,4000;1076,6000;409,6000;297,9000;1493,0000;3112,5000;247,4000;2057,8000;1139,3000;593,4000;1242,9000;505,2000;3847,0000;29,1000;611,9000;991,5000;2157,2000;299,2000;567,7000;276,1000;2150,8000;1045,6000;531,6000;474,4000;1069,0000;333,1000;362,3000;363,8000;339,8000;814,5000;266,4000;397,4000;4287,6001;902,3000;210,7000;7547,7002;506,0000;299,2000;5844,7998;185,9000;486,3000;257,3000;1251,9000;604,1000;1000,3000;642,1000;234,7000;3291,8999;419,5000;402,9000;6289,7998;382,9000;6770,3999;1121,7000;2305,0000;586,9000;476,6000;455,3000;349,2000;397,5000;1183,9000;2207,3999;2326,3999;2834,8999;440,3000;528,1000;860,5000;1464,2000;462,7000;1117,4000;787,7000;1941,6000;4333,3999;1161,6000;341,4000
35923,0000;900,4000;760,7000;639,7000;327,7000;1300,8000;408,7000;349,0000;556,9000;1699,2000;2555,3000;976,3000;717,9000;1081,5000;410,1000;291,5000;1544,0000;3080,8000;240,0000;2027,0000;1135,6000;592,1000;1227,0000;497,6000;3790,5000;29,9000;616,4000;996,1000;2186,2000;299,2000;567,2000;304,3000;2114,3000;1040,5000;529,0000;472,7000;1062,7000;332,4000;372,3000;360,9000;346,2000;806,5000;268,1000;393,2000;4298,5000;900,4000;204,8000;7472,3999;496,6000;299,2000;5889,7998;190,7000;471,7000;257,3000;1234,1000;602,1000;986,1000;638,1000;234,7000;3323,3999;411,8000;406,1000;6306,1001;377,2000;6754,8999;1111,8000;2282,3999;582,5000;472,1000;449,2000;347,0000;395,9000;1173,1000;2167,0000;2385,8999;2816,3000;437,8000;524,6000;870,9000;1449,7000;462,7000;1121,8000;783,7000;1935,9000;4361,1001;1150,7000;337,3000
